record_idx,biomass,phenological_stage,relative_humidity,air_temp,CO2,RGR,time_hours
0,0.05,seedling,70.0,20.0,400.0,0.0,0
0,0.1041714069991229,seedling,70.0,20.0,398.8862138025761,0.17750334709244045,0
1,0.34661878767879795,vegetative,70.0,20.0,394.5321291576982,-0.00030523100375370773,12
1,0.5308845296329721,vegetative,70.0,20.0,391.0166316236394,0.08667293186069351,12
2,1.0224846924431568,vegetative,70.0,20.0,381.48607249019597,-0.0002744860361779812,24
2,1.2814104458960716,vegetative,70.0,20.0,377.16650591187056,0.04353753990531982,24
3,1.8339946645731493,vegetative,70.0,20.0,365.8893644705933,-0.00024149923459306587,36
3,2.0856134954908563,vegetative,70.0,20.0,362.89163429412065,0.022053496966050815,36
4,2.5824686366688954,vegetative,70.0,20.0,352.3391878518287,-0.00021401558513824007,48
4,2.7975255453809234,vegetative,70.0,20.0,351.2192863669679,0.012286832031695748,48
5,3.2122510080311772,vegetative,70.0,20.0,342.03549908997354,-0.00019189885972485096,60
5,3.388849005513037,vegetative,70.0,20.0,342.56343912302475,0.007484969022433658,60
6,3.729573128759225,vegetative,70.0,20.0,334.62051811937465,-0.00017456470131036492,72
6,3.87394538589922,vegetative,70.0,20.0,336.3856697521276,0.004939580579288061,72
7,4.275566064308113,vegetative,70.0,20.0,332.0043511496668,0.0035062984329389704,84
7,4.1562831666022,vegetative,70.0,20.0,329.36903269448817,-0.00016122460488458704,84
8,4.513877180530108,vegetative,70.0,20.0,325.62270332774835,-0.00015706814020409576,96
8,4.614096148414501,vegetative,70.0,20.0,328.85506984820995,0.0028386805918134378,96
9,4.819649759799308,vegetative,70.0,20.0,322.8902980227432,-0.00015925644534866458,108
9,4.88084271026795,vegetative,70.0,20.0,326.54172090508746,0.001763632827945125,108
10,4.994561341457262,vegetative,70.0,20.0,320.93098835156735,-0.00016107954289989136,120
10,4.995551695879455,vegetative,70.0,20.0,324.95827029087184,0.0004253496167726215,120
11,4.954152564236654,dead,70.0,20.0,319.80632944232707,-0.0001625531104005136,132
11,4.39128588511304,dead,70.0,20.0,337.87166405861797,-0.0001625531104005136,132
12,3.8923693759447704,dead,70.0,20.0,351.956830978799,-0.0001625531104005136,144
12,3.450137329968596,dead,70.0,20.0,362.9290330931197,-0.0001625531104005136,144
13,3.0581495346272423,dead,70.0,20.0,371.4676043060186,-0.0001625531104005136,156
13,2.7106974829393082,dead,70.0,20.0,378.10458805131685,-0.0001625531104005136,156
14,2.402721240676393,dead,70.0,20.0,383.256564768138,-0.0001625531104005136,168
