record_idx,biomass,phenological_stage,relative_humidity,air_temp,CO2,RGR,ET,water_stress,time_hours
0,0.05,seedling,70.0,28.0,400.0,0.0,0.0,0.0,0
1,0.0505,seedling,68.0,27.2,942.35,-0.000326,0.0035,0.013459,12
2,0.0539,seedling,66.2,26.48,942.35,-0.000303,0.0034,0.052661,24
3,0.062,seedling,64.58,25.83,942.35,-0.000283,0.0032,0.098767,36
4,0.0773,seedling,63.12,25.25,942.34,-0.000265,0.0031,0.145055,48
5,0.1037,vegetative,61.81,24.72,942.33,-0.000261,0.0031,0.169837,60
6,0.1494,vegetative,60.63,24.25,942.32,-0.000255,0.003,0.185964,72
7,0.227,vegetative,59.57,23.83,942.29,-0.00025,0.003,0.199925,84
8,0.3551,vegetative,58.61,23.44,942.25,-0.000245,0.003,0.21308,96
9,0.5565,vegetative,57.75,23.1,942.19,-0.000244,0.003,0.225764,108
10,0.8549,vegetative,56.97,22.79,942.11,-0.000258,0.003,0.238183,120
11,1.2693,vegetative,56.28,22.51,942.01,-0.000253,0.003,0.250647,132
12,1.8265,vegetative,55.65,22.26,941.91,-0.000261,0.0032,0.240906,144
13,2.5691,vegetative,55.08,22.03,941.8,-0.000269,0.0036,0.220993,156
14,3.5393,vegetative,54.58,21.83,941.67,-0.000279,0.0043,0.196029,168
15,4.785,vegetative,54.12,21.65,941.55,-0.000289,0.0055,0.16796,180
16,6.3574,vegetative,53.71,21.48,941.41,-0.000299,0.0066,0.138933,192
17,8.3063,vegetative,53.34,21.33,941.27,-0.000307,0.0079,0.112039,204
18,10.6708,vegetative,53.0,21.2,941.13,-0.000308,0.0094,0.089121,216
19,13.4579,vegetative,52.7,21.08,940.99,-0.000307,0.011,0.074301,228
20,16.6246,vegetative,52.43,20.97,940.86,-0.0003,0.0127,0.0731,240
21,20.0908,vegetative,52.19,20.88,940.73,-0.000292,0.0144,0.080636,252
22,23.7846,vegetative,51.97,20.79,940.61,-0.000283,0.0162,0.092452,264
23,27.65,vegetative,51.77,20.71,940.51,-0.000274,0.0179,0.106093,276
24,31.641,vegetative,51.6,20.64,940.41,-0.000266,0.0196,0.120466,288
25,35.7085,vegetative,51.44,20.57,940.33,-0.000255,0.021,0.142112,300
26,39.7681,vegetative,51.29,20.52,940.26,-0.000247,0.0225,0.160576,312
27,43.8334,vegetative,51.16,20.47,940.2,-0.000239,0.0239,0.176293,324
28,47.8902,vegetative,51.05,20.42,940.14,-0.000232,0.0253,0.191213,336
29,51.9047,vegetative,50.94,20.38,940.16,-0.000225,0.0265,0.205719,348
30,55.749,vegetative,50.85,20.34,940.26,-0.000218,0.0276,0.219724,360
31,59.4055,vegetative,50.76,20.31,940.35,-0.000212,0.0286,0.232964,372
32,62.8882,vegetative,50.69,20.27,940.44,-0.000206,0.0296,0.245367,384
33,66.2098,vegetative,50.62,20.25,940.53,-0.000201,0.0304,0.256983,396
34,69.3821,vegetative,50.56,20.22,940.61,-0.000196,0.0311,0.267878,408
