time_hours,issue,record_idx,biomass,RGR,phenological_stage
12,negative_RGR,1,0.49936505521078434,-0.00034953933885495267,vegetative
24,negative_RGR,2,2.0175628749286036,-0.00034776625739071156,vegetative
36,negative_RGR,3,4.603860002894564,-0.0003447457870071711,vegetative
48,negative_RGR,4,8.046158068945717,-0.0003407256715719486,vegetative
60,negative_RGR,5,12.209818494186171,-0.00033586319366761823,vegetative
72,negative_RGR,6,16.994757214496932,-0.0003302752805559615,vegetative
84,negative_RGR,7,22.311418718251996,-0.0003240665611603993,vegetative
96,negative_RGR,8,28.076904921884278,-0.0003173338850612924,vegetative
108,negative_RGR,9,34.21379242616625,-0.00031016770232737803,vegetative
120,negative_RGR,10,40.64611948487126,-0.0003026567485336834,vegetative
132,negative_RGR,11,47.30409886581573,-0.0002948825407236034,vegetative
144,negative_RGR,12,54.05503209534057,-0.00028700004185047316,vegetative
156,negative_RGR,13,60.53536510034125,-0.0002794337338879213,vegetative
168,negative_RGR,14,66.71410471506495,-0.0002722197735555865,vegetative
180,negative_RGR,15,72.61133158141362,-0.0002653346862865449,vegetative
192,negative_RGR,16,78.23606807036514,-0.00025876791161260753,vegetative
204,negative_RGR,17,83.6046194577327,-0.00025250038908585117,vegetative
216,negative_RGR,18,88.71974506577733,-0.00024652887495461937,vegetative
228,negative_RGR,19,93.57150299470996,-0.00024086495401655066,vegetative
240,negative_RGR,20,98.14425019557929,-0.00023552686640537386,vegetative
252,negative_RGR,21,102.43501940216271,-0.0002305180550496184,vegetative
264,negative_RGR,22,106.44978157861264,-0.00022583153018697428,vegetative
276,negative_RGR,23,110.20062702737745,-0.00022145316078915842,vegetative
288,negative_RGR,24,113.70347106662705,-0.00021736435315503237,vegetative
300,negative_RGR,25,116.97627588324004,-0.00021354412663163075,vegetative
312,negative_RGR,26,120.03773601776713,-0.00020997064792906386,vegetative
324,negative_RGR,27,122.90635439851738,-0.0002066223094337798,vegetative
336,negative_RGR,28,125.59983126942862,-0.00020347844223806102,vegetative
348,negative_RGR,29,128.1346932877403,-0.0002005197488138099,vegetative
360,negative_RGR,30,130.5260997481333,-0.00019772852894666318,vegetative
372,negative_RGR,31,132.78777418142568,-0.00019508875935303325,vegetative
384,negative_RGR,32,134.9320206164404,-0.00019258607450260872,vegetative
396,negative_RGR,33,136.96979362208674,-0.00019020768469888685,vegetative
408,negative_RGR,34,138.9107994818981,-0.00018794225784849467,vegetative
420,negative_RGR,35,140.76361245580304,-0.00018577978364642955,vegetative
432,negative_RGR,36,142.53579519406148,-0.00018371143293409065,vegetative
444,negative_RGR,37,144.2340162039414,-0.00018172942051888262,vegetative
456,negative_RGR,38,145.86416006650373,-0.00017982687646802626,vegetative
468,negative_RGR,39,147.4314280803579,-0.0001779977285897986,vegetative
480,negative_RGR,40,148.9404283643363,-0.0001762365972270291,vegetative
492,negative_RGR,41,150.39525534141598,-0.00017453870245264574,flowering
504,negative_RGR,42,151.7995590794257,-0.0001728997831117978,flowering
516,negative_RGR,43,153.15660527899257,-0.00017131602678374183,flowering
528,negative_RGR,44,154.46932685064692,-0.00016978400956532114,flowering
540,negative_RGR,45,155.7403680663057,-0.00016830064452495627,flowering
552,negative_RGR,46,156.9721222454707,-0.0001668631377041599,flowering
564,negative_RGR,47,158.16676387159134,-0.0001654689506237981,flowering
576,negative_RGR,48,159.32627594851505,-0.0001641157683460851,flowering
588,negative_RGR,49,160.4524733136245,-0.0001628014722571779,flowering
600,negative_RGR,50,161.5470225313229,-0.0001615241168434948,flowering
612,negative_RGR,51,162.61145890285283,-0.00016028190983249574,flowering
624,negative_RGR,52,163.64720104864836,-0.00015907319516980615,flowering
636,negative_RGR,53,164.6555634486365,-0.0001578964383776836,flowering
648,negative_RGR,54,165.63776726428642,-0.00015675021392233808,flowering
660,negative_RGR,55,166.59494971333115,-0.00015563319426833313,flowering
672,negative_RGR,56,167.52817222321414,-0.00015454414036004358,flowering
684,negative_RGR,57,168.43842755156004,-0.00015348189330963234,flowering
696,negative_RGR,58,169.32664603041505,-0.00015244536710573047,flowering
708,negative_RGR,59,170.19370106475873,-0.00015143354219573804,flowering
720,negative_RGR,60,171.04041399404883,-0.0001504454598092672,flowering
732,negative_RGR,61,171.86755836863213,-0.00014948021696574063,flowering
744,negative_RGR,62,172.6758628766922,-0.000148536963056866,flowering
